Players,GP,Pre,Current,FGM,FGA,FG,FTM,FTA,FT,3PTM,PTS,OREB,DREB,REB,AST,ST,BLK,A/T
"J. Jerebko Bos - SF,PF",75,271,271,1.8,4.2,0.432,0.8,1.1,0.768,0.6,5.1,1.2,2.9,4.1,0.9,0.5,0.3,1.1
"R. Price OKC - PG,SG",50,272,350,1.3,3.6,0.376,0.4,0.6,0.724,0.6,3.7,0.3,0.9,1.1,1.9,0.8,0.1,2.3
"M. Plumlee Mil - PF,C",71,273,232,2.4,4.3,0.571,0.7,1.1,0.610,0.0,5.5,1.8,3.1,4.9,0.4,0.5,1.0,0.5
"A. Tolliver Sac - SF,PF",74,274,300,1.8,4.4,0.406,0.4,0.7,0.660,1.3,5.3,0.4,2.4,2.8,0.7,0.4,0.2,1.6
"A. Ajinca NO - PF,C",63,275,263,2.9,5.6,0.515,1.0,1.2,0.842,0.0,6.8,1.6,3.4,5.0,0.6,0.4,0.8,0.6
"L. Barbosa Pho - PG,SG",65,276,306,2.4,5.1,0.464,0.7,0.8,0.811,0.6,6.0,0.3,1.2,1.5,1.3,0.6,0.1,1.5
N. Stauskas Phi - SG,62,277,318,2.1,5.3,0.392,0.9,1.0,0.815,1.1,6.1,0.3,1.5,1.8,1.2,0.4,0.2,1.4
"A. Gee NO - SG,SF",67,278,334,1.2,2.7,0.441,0.5,0.7,0.727,0.2,3.0,0.6,1.6,2.1,0.7,0.6,0.1,1.2
"Q. Acy Dal - SF,PF",55,279,345,1.3,2.5,0.529,0.6,0.9,0.745,0.3,3.6,0.8,1.7,2.5,0.4,0.4,0.3,0.9
M. Harkless Por - SF,80,280,226,2.6,5.5,0.464,0.8,1.4,0.606,0.5,6.5,1.3,2.5,3.7,1.0,0.7,0.5,1.2
"L. Stephenson NO - SG,SF",63,281,289,2.7,6.0,0.451,1.0,1.4,0.724,0.3,6.7,0.6,2.4,3.0,2.1,0.6,0.1,1.6
"A. Morrow OKC - SG,SF",73,282,288,2.5,5.8,0.429,0.6,0.7,0.865,1.4,7.0,0.3,0.9,1.2,0.6,0.4,0.1,1.9
"S. Hawes Cha - PF,C",63,283,297,1.8,4.3,0.425,0.7,1.0,0.750,0.6,5.0,0.7,2.7,3.4,1.5,0.3,0.5,1.9
"K. O'Quinn NY - PF,C",64,284,249,2.6,5.3,0.493,0.8,1.1,0.712,0.1,6.1,1.4,3.2,4.6,1.3,0.5,1.0,1.2
"M. Belinelli Cha - SG,SF",73,285,252,3.3,8.2,0.402,1.5,1.8,0.842,1.4,9.5,0.2,1.5,1.7,1.7,0.4,0.1,1.7
A. Brooks Ind - PG,69,286,275,2.7,6.6,0.407,0.8,1.0,0.792,1.1,7.3,0.3,1.0,1.3,2.7,0.5,0.1,2.1
