Rank,Name,Position,Team,Best,Worst,Draft,Dev 
160,Mason Plumlee,C,POR,108,201,139.4615,22.94346022
161,Jeff Green,F,ORL,109,252,192.5455,36.8149269
162,Al Jefferson,F,IND,109,175,152.1538,19.35834606
163,Anthony Morrow,G,OKC,110,307,202.1429,55.71208787
164,Solomon Hill,F,NOR,111,202,149.25,25.32826155
165,Terrence Jones,G,NOR,113,216,165.25,27.16960618
166,Manu Ginobili,G,SAS,114,236,194,33.65601392
167,Ish Smith,G,DET,115,276,194.7273,44.05181022
168,Doug McDermott,F,CHI,115,247,201.4444,40.38457107
169,Ersan Ilyasova,F,OKC,115,221,169.4167,26.68788219
170,Kris Dunn,PG,MIN,116,212,151,25.52030004
171,Lou Williams,G,LAL,116,188,148.5833,25.64000238
172,Kevin Martin,G,FA,116,116,116,0
173,Wesley Johnson,G,LAC,117,199,170.3333,26.63748403
174,Dario Saric,F,PHI,117,181,150.8182,24.28549205
175,Patty Mills,G,SAS,118,209,172,28.22233158
176,Tim Frazier,G,NOR,119,209,153.4545,23.96726418
177,Allen Crabbe,G,POR,119,195,154.5,21.71158348
178,C.J. Miles,F,IND,120,226,195.1111,31.96332775
179,Michael Beasley,F,MIL,120,217,165.8333,24.74480866
180,Moe Harkless,F,POR,123,241,194.7778,34.44408602
181,Roy Hibbert,C,CHA,123,213,177.1429,21.32020217
182,Jaylen Brown,SG,BOS,124,363,207.1111,62.68518245
183,Zaza Pachulia,C,GSW,125,186,156.2143,18.07989638
184,Dwight Powell,F,DAL,126,200,175.2222,21.98372013
185,Trey Lyles,F,UTH,127,209,168,23.06512519
186,Tony Parker,G,SAS,127,188,155.7857,16.65266419
187,Taj Gibson,F,CHI,127,187,155.5385,17.7963496
188,Thabo Sefolosha,G,ATL,128,231,188.2857,33.20376177
189,Dante Exum,G,UTH,129,210,183.3,23.41388477
190,Corey Brewer,G,HOU,130,291,215,47.17444829
191,Jamal Murray,SG,DEN,130,240,172.9167,30.96626749
192,James Ennis,G,MEM,130,198,172.1667,24.5520988
193,Larry Nance,F,LAL,131,215,173.75,26.00360552
194,Iman Shumpert,G,CLE,131,212,189.75,33.98804937
195,Amir Johnson,F,BOS,131,184,159.25,17.33553672
196,JaMychal Green,F,MEM,132,220,194,27.8105838
197,Brandon Jennings,G,NYK,132,197,167.2308,20.19197802
198,Langston Galloway,G,NOR,134,245,185.9091,28.09223298
199,Tony Allen,G,MEM,134,234,201.2222,34.12974518
